Date,NIFTY,ABB,ABFRL,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AJANTPHARM,AMARAJABAT,AMBUJACEM,APLLTD,APOLLOHOSP,APOLLOTYRE,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BERGEPAINT,BHARATFIN,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CADILAHC,CANBK,CASTROLIND,CENTRALBK,CENTURYTEX,CESC,CHOLAFIN,CIPLA,COALINDIA,COLPAL,CONCOR,COROMANDEL,CRISIL,CUMMINSIND,DABUR,DALMIABHA,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EICHERMOT,EMAMILTD,ENGINERSIN,EXIDEIND,FEDERALBNK,FORTIS,GAIL,GLAXO,GLENMARK,GMRINFRA,GODREJCP,GODREJIND,GPPL,GRUH,GSKCONS,GSPL,HAVELLS,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HEXAWARE,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,IBULHSGFIN,ICICIBANK,IDBI,IDEA,IGL,INDHOTEL,INDIANB,INDUSINDBK,INFRATEL,INFY,IOC,IPCALAB,IRB,ITC,JINDALSTEL,JSWENERGY,JSWSTEEL,JUBILANT,JUBLFOOD,KARURVYSYA,KOTAKBANK,L&TFH,LICHSGFIN,LT,LUPIN,M&M,M&MFIN,MANAPPURAM,MARICO,MARUTI,MCDOWELL-N,MINDTREE,MOTHERSUMI,MPHASIS,MRF,MUTHOOTFIN,NATCOPHARM,NATIONALUM,NAUKRI,NBCC,NHPC,NMDC,NTPC,OBEROIRLTY,OFSS,OIL,ONGC,PAGEIND,PCJEWELLER,PEL,PETRONET,PFC,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,PRESTIGE,RAJESHEXPO,RAMCOCEM,RCOM,RECLTD,RELCAPITAL,RELIANCE,RELINFRA,RPOWER,SAIL,SBIN,SHREECEM,SIEMENS,SPARC,SRF,SRTRANSFIN,STAR,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,TITAN,TORNTPHARM,TORNTPOWER,TV18BRDCST,TVSMOTOR,UBL,ULTRACEMCO,UNIONBANK,UPL,VAKRANGEE,VEDL,VOLTAS,WELSPUNIND,WIPRO,WOCKPHARMA,YESBANK,ZEEL
01-Jan-15,8284,1301.5,119.9,1403.55,490,319.55,44.2,1088.2,943.24,815.2,227.75,445.2,1125.9,223.6,281.5,52,749.15,563.55,503.05,2452.15,1286.6,349.97,216.61,304.35,648.92,88.97,144.71,413.35,468.98,362.9,179.12,143.72,19454.1,218.18,1831.5,322.4,437.57,241.84,92.8,524.4,663.2,473,628.4,380.05,902.92,1086.32,307.25,1925.75,871.7,232.4,448.7,206.48,67.7,872.72,137.4,3210.5,53.5,15262.35,793.4,114.47,188.4,75.05,112.25,331.95,3169.9,775.5,17.66,482.95,291.41,198.75,294.2,5828.35,113.6,276.3,803.4,1124,952.05,3105.4,200.95,158.45,122.28,758.45,168.45,454.15,320.24,74.75,159.35,90.29,116.58,220.2,812,339.3,987.2,168.23,720.65,263.85,244.89,156.55,102.5,106.59,142,1365.7,106.89,629.3,68.7,438.1,1002.47,1429.2,595.52,329.7,35.7,161.93,3340.75,2818.3,647.92,202.6,391.65,37981.35,214.4,303.93,55.7,855.75,99.5,18.9,148.25,142.45,280.1,3357.65,432.41,229.48,12334.4,215.5,832.8,105.68,152.93,5811.1,549.25,537.9,219.65,137.1,240.85,148.35,345.5,83.25,167.85,418.23,443.95,512.25,62.4,82.75,314,9377.55,906.7,187.08,876.4,1102.35,960.95,822.2,378.6,14.55,133.75,434.5,441.6,150.7,492.97,331.3,82.15,404.45,2545.55,648.64,1064.2,379.8,1145.5,158.65,31.15,277.55,834.6,2662.5,241.15,341.6,64.18,219.25,240.8,33.05,276.2,1021.25,154.51,377.7
02-Jan-15,8395.45,1288,118.85,1425.9,492.4,319.35,44.95,1107,923.54,806.85,230.95,457.1,1127.85,223.65,281.8,53.4,775.05,566.25,514.3,2451.75,1275.65,344.38,219.25,307.75,660.15,88.53,161.54,415.1,471.6,365.05,183.63,144.97,19539.85,214.91,1878.55,325.53,436.99,242.42,93.05,533.35,675,490.35,630.15,381.75,921.95,1086.08,301.55,1938.75,919.25,234.7,434.55,209.05,67.45,876.45,139.2,3221.4,56.45,15081.95,782.5,115.75,184.55,74.5,111.55,333.45,3131.9,767.85,17.71,485.05,294.8,223.6,296.95,5900.25,113.2,275.1,802.63,1171.9,965.3,3098.1,204.25,160.1,121.33,755.95,171.55,480.35,329.33,76.95,159.9,90.45,113.16,215.35,815.9,337.2,1006.6,167.3,726.6,267.25,245.66,161.95,101.75,106.92,140.3,1371.5,108.88,635.78,69.2,466.75,1023.61,1432.3,589.55,331.9,34.75,164.98,3359.6,2812.75,649.55,203.38,390.1,38192.25,203.45,305.86,55.1,854.2,100.16,19.05,146.95,144.4,288.5,3411.15,434.21,232.92,12419.65,215.5,839.5,105.6,153.4,5836.05,559.9,549.6,219.8,138.75,231.45,149.25,344.75,82.8,167.45,419.12,442.77,518.05,63.25,82.85,315.25,9325.9,914.35,189.96,921.75,1106.1,960.95,826.25,375.7,14.85,133.55,438.15,435.45,152.5,506.17,338.83,83.35,410.75,2579.45,651.81,1049.9,382.8,1192.5,161.95,30.7,267.45,835.6,2742.1,240.3,352.25,64.7,222.3,245.65,33.44,278.65,1034.4,158.44,380.95
05-Jan-15,8378.4,1288.3,120,1433.65,500.55,323.8,45.1,1111.45,935.62,811.5,230.65,454.6,1131.6,229.6,281.2,57.8,775,565.97,517.55,2460.7,1258.7,343.48,219.19,307,662.15,86.86,156.22,424.85,473.15,356.95,182.36,145.17,19736.05,215.32,1879.85,339.88,438.69,243.02,95.55,535.85,679.45,498.05,633,380.25,914.08,1102.4,303.2,1964.5,937.9,231.45,434.9,217.98,66.55,871.17,135.8,3148.4,55.8,15150.55,779.25,118.03,185.5,73.9,110.45,334.5,3136.15,751.4,17.61,485.23,294.8,219.85,299.3,5939.9,122.75,277.8,789.13,1156.4,957.15,3119.4,204.2,156.85,124.76,760.3,169.25,483.4,330.01,76,153.55,91.97,112.93,212.2,819.1,342.4,997.95,169.1,732.95,244.7,246.62,162.85,102.25,106.66,139.65,1380.3,108.05,633.22,69.25,470.2,1037.85,1430.3,586.56,333.35,34.8,161.98,3447.8,2793.6,635.83,199.87,391.45,38477.3,198.45,299.54,53.45,849.45,100.2,18.9,146.2,144,286.2,3405.6,422.89,235.55,12080.75,212.7,838.1,106,152.23,5839.7,551.8,542.3,217.75,138.9,229.6,150.75,332.75,81.6,166.98,423.28,437.92,515.05,63.4,82.7,312.75,9302.55,918.65,192.15,907.45,1071.6,961.8,826.75,370,14.85,132.3,435.75,437.1,152.95,518.04,341.01,82.85,416.7,2540.25,640.94,1037.2,385.9,1187.2,161.9,31,270.9,832.9,2747.7,237.65,345.7,66.24,219.8,245.85,32.56,279.15,1039.4,158.78,380
06-Jan-15,8127.35,1276.6,118,1383.55,496.75,321.85,44.05,1069.5,929.78,790.7,222.15,449.65,1097.9,221.65,262.45,56.55,756.5,543.9,499.05,2441.5,1229.6,342.59,211.9,291.6,637.75,85.71,151.14,410.45,446.35,354.15,174.05,140.25,19188.7,213.16,1881.9,332.04,426.56,249.05,93.75,514.5,671,482.25,614.35,379.95,920.08,1079.36,303.5,1881,909.3,224.35,417.8,202.77,65.65,837.08,133.65,3065.55,52.95,14755.9,758.7,111.43,185.15,72.85,106.95,323.92,3151.1,721.75,17.02,476,278.7,220.45,286.6,5812.9,126.9,262.65,768.05,1101.95,942.25,3014.4,196.45,153.4,123.53,774.7,168.25,473.6,316.01,71.9,150.5,89.41,110.35,200.3,798.4,341.55,977.1,167.23,728.7,237.1,240.29,152.65,96.9,102.77,144.4,1336.2,106.08,625.67,66,447.55,1003.23,1395.85,583.29,321.4,33.2,163.82,3395.25,2797.45,603.45,193.53,388.55,37460,195.95,285.67,51.5,837.45,95.28,18.5,139.95,139.2,278.05,3300.6,401.4,222.21,11639.85,210.1,827.2,102.72,143.88,5799.35,526.6,540.7,207.75,135.8,220.2,141.65,321.8,79.6,159.93,400.8,418.05,487.55,60.95,78.65,299.9,9076.35,895.7,189.86,867.4,1045.45,925.9,808.55,350.05,14.1,125.3,422.6,416.8,148.15,495.88,325.46,79.65,396.5,2446.6,634.06,1017.4,372.7,1132.6,160.4,29.3,268.05,832.45,2670.6,225.05,328.95,64.29,209.05,237.35,31.24,272.63,979.55,154.33,367.9
07-Jan-15,8102.1,1258.2,119,1367.45,492.35,321.1,44.15,1052.6,924.7,814.5,220.1,450.95,1106.5,218.8,264.1,59.65,771.7,552.53,498.65,2447.2,1228.55,349.56,213.34,288.1,640.45,97.26,155.56,415.6,450.2,355,169.32,136.72,19156.7,215.09,1995.75,329.78,425.83,252.17,95.25,512.85,662.75,480.3,611.95,374.7,937.17,1084.36,303,1962,900.05,227.75,412.75,207.63,66.65,824.83,134.6,3039.2,54.2,14959.9,762.85,110.3,183.65,73.07,105.6,315.67,3180.1,719.65,16.63,480.08,277.2,221,286.2,5795.4,124.5,266.25,749.8,1099.25,945,2974.05,195.3,148.9,126.29,801.9,164.15,497.5,307.47,70.85,149.75,86.39,107.55,196.7,791.95,342.65,981.78,167.52,727.9,227.35,235.82,150.35,97.2,101.18,159.95,1319.05,107.1,635.75,66.05,457.25,1000.83,1377.6,589.31,313.05,34,161,3437.75,2806.7,596.08,196.2,385.75,37381.05,195.6,280.97,50.95,843.4,95.51,18.25,135.85,142.55,268.45,3300.7,399.6,225.48,11388.6,214.85,835.25,104.8,138.8,5845.65,519.95,532.25,203.85,137.75,221.4,141.55,318.1,78.45,158.93,390.46,427.15,476.7,60.5,77.8,300.15,9064,899.2,188.97,857.75,1040,923.1,809.8,342.35,15.4,124.25,432.6,423.65,148.45,488.42,327.34,78.25,388.9,2417.7,631.1,1035.15,374.6,1126.55,160.4,29.15,278.3,897.1,2660.05,219.5,323.05,64.13,209,229.45,31.99,270.55,997.65,151.47,364.85
08-Jan-15,8234.6,1288,119.1,1391.4,511.75,334.55,45.45,1029.75,927.58,825,226.4,450.45,1126.35,226.65,269.65,61.25,820.35,563.35,501.95,2450.4,1289.8,348.96,215.52,296.1,661.53,95.18,171.29,433.3,465.4,361.15,171.79,138.87,19618.9,225.98,1969.2,329.43,440.2,253.06,95.4,533.25,692.1,487.7,618.2,379.45,962.45,1078.28,303.15,1971.25,893.2,230,413.9,210.27,68.6,826.53,142.75,3066.3,55.45,14873.7,758.9,112.2,185.6,74.25,106.25,323.06,3207.5,740.8,16.78,495.08,284.05,224.95,295.75,5746.9,128.5,273.8,767.15,1123.35,964.85,2984,201.15,152.55,132.83,817.05,164.85,504.65,315.83,72.8,152.3,90.95,108.34,205.15,798.7,344.05,986.72,171.75,729.4,238.4,241.72,157.9,99.65,102.21,157.1,1351.9,107.13,670.33,67.05,469.15,1007.2,1407.95,595.78,318.2,34.05,160.77,3475.5,2833.45,602.97,197.06,382.65,38076.5,196.55,286.06,51.15,848.3,97.49,18.6,137.55,144.95,271.5,3325.15,412.72,227.98,11194.15,214.7,840.4,108.6,139.75,5964.9,519.8,535.7,206.55,138.35,223.05,142.65,324.2,78.65,160.45,396.72,421.02,488.55,61.5,79.15,304.85,9161.75,920.4,198.8,864.85,1053.4,935.4,818.8,347.75,15.25,127.95,440.4,425.7,153.7,506.37,337.29,80,394.95,2443.8,641.66,1045.2,372.9,1147.5,164.8,29.8,296.2,893.35,2727.45,229.3,332.8,64.24,210.5,243.35,32.92,272.5,1030.3,153.83,364.5
09-Jan-15,8284.5,1265.05,118.95,1398.5,506.65,331.15,44.75,1016.35,927.8,815.75,223.8,473.4,1124.65,224.1,266.75,58.7,812.5,584.78,494.95,2375.85,1279.2,345.01,212.09,293.45,678.45,96.93,174.64,435.85,464.52,355.8,169.92,140.64,19450.3,226.56,1945.3,337.34,429.29,246.53,97.4,527.8,688.1,485.55,632.35,375.05,960.1,1092.6,303.8,1949.95,876.95,229.45,414.05,213.27,67.55,851.13,137.85,3163.8,58.7,14738.7,767.55,112.28,189.5,74.63,105.65,326.47,3192.65,735.4,16.87,511.77,284.6,221.9,294,5731.45,125,273.1,772.78,1113.3,975.65,2992.25,209.3,155,130.85,864.6,162.75,495.5,310.74,72.4,147.6,90.32,111.48,209.9,802,343,1037.22,170.85,738.6,238.05,238.05,152.85,99.75,101.3,152.5,1375.5,105.71,680.47,67.2,473.2,1000.67,1420.7,596.07,315.05,34.1,159.48,3468.2,2857.1,630.53,194.75,382.45,37707.25,196.3,282.33,50.55,866.65,100.38,18.55,135.35,140.25,269.2,3289.2,423.9,234.12,11031.25,208.45,842.05,106.95,140.35,6148.2,522.25,531.85,206.6,138.45,222.15,140.5,320.6,77.05,157.6,392.4,430.15,485.35,60.95,78.55,303.2,9188.3,914.45,198.3,855.65,1061.1,927.2,830.05,353.65,14.75,127.55,442.05,425.25,155.6,516.55,339.22,79.8,399.65,2512.3,670.09,1049.3,372.9,1184.35,164.3,29.3,296.5,903.95,2729.35,230.4,332.35,64.52,207.8,246,33.11,276.75,1076.8,152.77,360.8
12-Jan-15,8323,1267,119,1404.6,514.55,328.45,46.75,1008.25,958.52,816.3,228,467.45,1118.45,225.4,268.85,60.3,807.75,588.8,501.55,2334,1267.7,343.82,216,298.9,687.13,97.32,164.61,441,500.65,348.95,171.85,142.11,20326.25,225.58,1932,330.49,433.38,243.94,98.95,543.35,723.15,496.15,630.75,357.85,963.42,1081.84,299.4,1938.45,870.65,234.75,456.75,218.65,68.65,853.15,136.5,3207.25,60.65,14857.65,803.45,112.95,188.7,74.93,107.25,322.69,3192.8,727.05,16.92,529.42,288.45,220.05,293.8,5717.55,123.55,270.85,787.78,1128.55,967.05,2937.15,211.3,151.1,129.93,896.6,159.55,497.6,315.01,74.85,146.1,90.52,111.2,213.85,829.45,342.5,1057.97,169.75,733.3,246.4,238.69,149.4,103.35,100.07,151.3,1418.4,104.93,685.5,67.6,459.1,1023.31,1431,593.57,308.55,33.7,159.38,3462.9,3044.75,644.08,193.75,377.65,38094.45,196.15,284.76,49.65,853.05,99.65,18.6,133.7,140,270.65,3273.25,413.14,231.92,10974.4,211.35,831.75,103.43,141.73,6120,525.7,532.35,208.95,136.5,221.45,139.6,320.4,78,157.57,394.92,425.15,485.05,61.25,80,307.1,9202.05,926.2,206.49,847.9,1040.85,927.8,835.3,377.55,15.7,131.05,439.8,420.55,157.35,516.55,334.03,80.3,396.75,2509.7,688.5,1057.75,376.8,1138.2,167.95,29.2,299.5,912.95,2700.3,235.95,330.6,64.31,206.25,245.9,33,278.02,1093,155.57,360.9
13-Jan-15,8299.4,1271.3,118.35,1441.7,496.7,323,45.45,1012.65,989.04,821.95,230.1,463,1150.1,223.65,264.05,59.8,833.85,575.17,504.5,2324.1,1286.45,348.3,216.32,294.5,697.2,100.89,167.5,460,492.55,346.3,171.75,144.34,20403.55,223.29,1933.4,329.35,433.14,246.97,98.1,549.25,711.5,499.15,636.4,361.2,969.85,1085.96,297.15,1903.75,878.35,235.75,463.95,216.43,67.4,861.95,133.25,3223.35,59.25,14799.15,856.5,112.97,185.2,74.18,106.65,321.11,3183.95,728.8,16.53,540.58,293.1,218.7,294.8,5714.7,126.45,270.35,791.8,1122.2,963.35,2893.2,214.85,151.7,130.62,884.55,159.15,492.2,309.88,73.9,147,91.81,111.06,216.55,825.5,340.7,1044.45,170.07,742.9,235.35,240.19,148.75,101.45,99.35,145.7,1397.1,105.12,696.47,66.85,462.35,1013.51,1433.05,601.17,303.65,34.05,167.13,3468.25,3104.05,665.67,198.53,383.4,38170.1,196.05,286.9,48.8,855.3,99.58,18.55,135,138.95,267.35,3302.6,401.4,226.75,10870.55,220.65,840.35,103.63,137.65,6097.5,538.55,528.1,207.35,135.85,222.8,141.1,325.65,76.45,155.45,392.35,421.58,475.95,60.15,78.25,305.1,9231.9,919.4,200.78,897.75,1039.5,925.15,833.1,371,15.2,128.6,447.85,425.35,155.25,513.74,331.06,79.1,391.5,2497.9,690.28,1028.75,372.2,1147.95,168.85,29.3,308.95,926.1,2818.5,232.7,344.75,64.54,204.6,242.05,32.99,281.75,1071.55,156.35,361.75
14-Jan-15,8277.55,1262.5,118.55,1478.35,491.35,331.25,45.5,1052.2,1036.9,841.1,232.85,459.1,1160.55,219.1,270.7,58.95,842.65,572.25,499.6,2363.45,1254.2,377.39,215.01,290.8,706.78,99.56,163.01,454.65,491.6,345.8,179.26,143.25,20985.95,217.34,1946.05,322.31,427.2,244.5,98.3,546.15,730.45,522.15,631.4,363.2,969.35,1094.28,296.9,1933.7,879.1,251.05,467.1,223.98,68.05,852.65,133.35,3208.25,58.05,14833.55,883.85,111.53,185.4,74.07,104.9,319.88,3193.1,718.9,16.19,542.72,294.85,211.7,300.65,5647.6,126.5,263.65,789.4,1120.3,963.9,2903.05,215.35,142.15,127.31,924.05,153.45,499.45,306.24,73.25,148.5,89.28,108.48,214.25,816.65,339.2,1064.32,167.85,732.75,232.05,231.98,146.85,102.65,96.83,146.25,1398.1,106.3,695.6,66.35,454.05,1012.51,1423.35,595.47,298.25,34.05,175.93,3516,3064.45,693.95,197.15,379.6,38235.35,192.45,285.02,47.6,844.95,98.57,19.6,132.7,137.75,266.45,3368.3,397.35,229.48,10839.5,223.85,836.9,101.6,140.05,6122.95,567.3,529.45,203.05,136.05,220.8,139.9,325.95,75.4,156.05,377.23,417.48,462.1,60.05,77.05,304.7,9262.4,931.65,199.74,916.8,1034.2,920.9,820.65,365.65,14.95,126.55,443.05,423.95,154.85,514.63,327,78.85,376.85,2521.95,697.89,1025.75,371.6,1125.6,167.15,29.2,307.9,931.15,2908.85,225.35,358.2,64.24,188.1,247.75,33.86,275.98,1040.45,157.34,359.95
15-Jan-15,8494.15,1268.15,120.15,1514.4,500.9,330.6,45.95,1085,1017.38,847.8,240.45,465.3,1147.9,222.4,271.6,60.25,839.35,566.05,514.05,2417.95,1289.05,386.02,219.64,300.85,710.38,99,157.47,466.35,491.98,349.35,179.39,145.44,21334.8,221.09,1934.15,323.54,445.85,240.05,100.15,556.2,730.35,526.9,638.05,368.45,973.7,1105.04,295.6,1944.95,887.8,249.9,468.2,238.23,68.65,847.8,147.8,3240.55,58.95,15127.25,867.1,113.03,186.85,72.32,106.6,320.85,3175.15,714.9,17.07,534.65,306.15,208.3,303,5633.8,123.55,266.25,796.63,1202.55,993.15,2950.55,217.75,141.9,128.82,921.55,153.9,533.7,320.74,76.25,150.05,90.55,108.9,215.3,830.35,340.1,1067.13,168.02,725.2,239.6,238.72,151.8,105.85,97.1,147.8,1414.15,108.03,700.2,68.35,466.15,1049.66,1437.15,615.28,308.8,33.9,177.7,3625.8,3040.15,682.5,198.18,376.95,38321.4,198.85,293.78,47.25,845.6,99.23,19.5,133.75,139.2,270.05,3371.25,399.11,231.12,10909.65,234.15,831.65,100.6,145.75,6096.8,586.1,524.8,210.05,142.95,246.05,141.4,340.35,78.45,163.88,388.95,432.13,486.85,61.6,77.55,320.3,9974,945.65,200.09,918,1110.85,923.55,825.9,375.35,15,131.45,445.8,433.8,155.65,527.09,338.43,81.7,384.75,2539.1,695.45,1032.1,375.9,1116.05,165.5,29.05,316.05,945.15,3083.05,239.3,362.5,65.03,189.7,253.45,34.11,279.75,1037.95,162.64,369.4
16-Jan-15,8513.8,1276.45,117.35,1518.35,500.3,330.85,45.8,1055.9,988.68,848.15,239.35,460.95,1185.8,226.3,273.1,60.35,843.45,577.67,514.8,2420.15,1267.65,393.78,216.17,300.4,718.13,99.71,161.83,469.5,509.35,342.85,182.66,145.39,21441.55,219.88,1928.7,327.04,443.07,245.52,98.75,572.2,728.05,515.2,647.35,379.05,979.55,1096.52,294.4,1980.65,888.35,251.4,471.75,243.8,68.65,856.08,146.25,3285.8,63.9,15349.7,876,112.72,185.2,72.38,105.6,318.71,3205.1,722.2,16.73,562.7,314.85,207.8,306.55,5701.75,122.45,271.65,819.5,1194.55,1001.35,2897.7,216.65,138.55,127.08,941.05,156.95,566.35,321.65,75.45,151.8,93.45,107.83,212.95,831.85,340,1059.15,168.25,713.4,246.8,240.19,150.85,107.2,98.05,148.25,1417.65,106.72,697.67,68.7,487.05,1061.7,1428.05,628.04,307.9,33.9,175.13,3616.6,3204.25,690.13,200.87,378.65,39161.75,197.45,306.04,46.9,836.3,100.24,19.35,135.4,140.4,268.1,3345.15,395.25,231.52,11646.45,242,848.7,98.8,145.35,6141.85,575.85,527.95,205.05,147.35,251.8,141.55,341.85,78.25,163.13,391.05,434.85,485.75,61.55,76.95,315.45,9920.2,965.1,196.76,916.3,1165.1,926.4,849.75,418.15,16.1,128.4,444.05,426.95,154.3,519.97,336.5,82.7,383.4,2532.15,704.24,1030.2,387.2,1097.05,164.3,31.45,320.15,942.35,3070.1,236.4,370.15,65.7,193.25,255.5,34.24,277.52,1035.5,160.53,385.85
19-Jan-15,8550.7,1273.1,119.95,1532.9,506.3,328.35,46.65,1047.2,1007.22,828.5,246.8,469.25,1200.25,228.85,278.65,60.5,831.9,581.42,528.95,2403.9,1257.95,390.18,216.97,299,723.78,98.41,161.15,470.15,509.63,350.45,187.46,145.97,21504.95,215.17,1908.65,327,452.37,245.3,98.6,561.05,726.2,516.1,657.8,379.2,972.88,1104.84,294.45,2023.2,893,257.8,464.5,246.75,68.5,856.08,145.35,3323.9,64.4,15474.6,873.15,113.18,184.05,73.47,108.2,330.41,3173.8,738.05,16.58,547.03,309.4,206.9,309.95,5717,120.3,271.6,822.33,1181.7,1004.55,2841.3,217.1,140.25,124.28,892.55,160.35,571.95,327.97,75.2,155.4,92.42,109.04,211.15,829.15,342.1,1051.25,168.4,695.45,250,239.32,151.65,112.7,97.67,159.25,1406.9,108.39,694.72,68.9,494.05,1077.1,1463.5,641.32,287.25,33.6,178.93,3626.25,3373.25,707.35,202.58,372.55,39496.1,207.1,308.85,47.1,808.85,99.44,19.3,137.15,141.75,277,3345.65,398.81,231.78,11782.15,239.55,845.35,97.78,146.5,6122.25,577.65,503.3,207.85,147.85,258.8,169.25,339.75,79.6,164.57,393.62,439.83,490.05,62.15,76.8,313.15,10257.15,969.3,236.09,913.9,1142.6,926.65,863,404.9,17.5,128.1,444.7,425.3,156.55,532.58,342.89,82.8,384.75,2511,700.06,1055.4,394.5,1111.75,167.7,33.1,308.85,950.05,3088.5,237.8,371.05,65.8,193.15,252.8,34.23,292.1,1069.1,164.99,384.6
20-Jan-15,8695.6,1274.3,119.85,1544.3,506.5,330.5,46.55,1060.95,990.32,832.05,247.2,470.25,1210.7,235.25,279.05,61.1,839.2,583.28,551.4,2404.25,1321.95,390.48,217.36,297.05,716.9,95.75,163.26,460.25,504.15,354.9,187.59,145.02,21530.65,215.99,1920.75,331.71,457.97,241.65,101.25,575.85,724.85,500.45,661.8,382.3,963,1110.48,302.15,1990.5,885.05,254.15,473.35,240.2,69.75,847.28,145.65,3306.2,67.4,15490.7,853.9,113.25,179.9,72.43,109.6,323.51,3168.95,733.15,16.58,540.97,310.95,201.05,310.95,5715.7,121.95,271.3,836.08,1251.55,1020.95,2828.65,215.25,144.7,125.5,895.45,161.9,597.1,334.28,75.9,157.85,93.32,110.73,211.1,840.45,353.8,1062.1,168.38,695.6,253.55,247.52,155.35,109.95,100.51,155.7,1382.05,111.87,697.85,68.65,490.45,1086.91,1475.7,637.98,275.45,33.55,175.57,3605.55,3365,678.15,200.44,369.3,39513.2,216.85,303.43,47.55,807.2,99.85,19.1,140.7,142.85,280.35,3369.95,402.86,233.65,11615.55,239.95,834.4,97.88,144.9,6083.9,578.7,494.5,209.25,147.4,279.2,161.3,351.05,80.6,160.93,394.08,451.52,495.45,62.45,77.95,318.15,10456.4,952.95,232.26,924.6,1124.3,938.05,872.3,409.7,17.65,129.2,444.75,424.2,156.35,553.05,351.45,82.1,402,2500.45,700.45,1061.4,393.6,1139.8,170.35,33.85,308.95,942.9,3096.45,240.5,371.35,65.44,204.15,253.8,34.9,295.2,1102.75,171.67,390.7
21-Jan-15,8729.5,1271.6,118.55,1544.45,506.15,329.35,46,1107.3,987.26,820.85,246.65,470.25,1224.9,232.35,275.2,63.75,851.3,585.28,547.25,2446.65,1292.65,381.74,225.58,302,740.28,95.39,163.26,450.1,504.42,369,188.46,144.11,21638.65,218.16,1915.05,329.93,457.68,241.84,103.55,564.25,721.7,516.65,643.45,391.85,946.55,1116.12,303.75,2044.75,892.4,250.2,466.5,241.02,71.15,839.63,143.7,3335.85,66.5,15372.35,859.85,113.53,185.5,72.2,114.4,325.35,3159.05,737.35,16.43,547.67,308.7,204.9,308.85,5706.85,118.75,272.1,843.63,1287.2,1019.95,2875.15,225,143.2,126,941.95,163.75,588.65,334.92,76.6,163.1,95.59,112.18,216.55,842.55,365.3,1084.95,165.02,699.95,254.7,235.25,152.8,110.5,100,169.95,1400.4,111.91,694.08,69.45,483.65,1103.58,1484.8,637.88,267.45,33.95,176.4,3634.7,3339.3,662.28,206.5,369.8,38902.65,232.5,286.15,47.9,799,100.08,19.1,138.2,143.5,289.9,3369.65,401.78,230.82,11712.55,258.15,833.25,96.9,143.2,6120.5,585.65,492.65,216,146.9,284.05,161.45,359.05,80.1,162.43,392.65,453.38,482.6,62,76.9,326.2,10427.3,986.9,236.04,925.65,1106.45,925.15,885.95,412.35,17.2,129.45,438.8,423.85,158,545.43,356.65,83.4,397.1,2513.8,699.13,1049.75,406.95,1122.25,168.6,35.25,300.65,936.2,3054.8,247.35,364.3,65.7,199.65,256.25,34.03,294.35,1090.3,171.04,381.55
22-Jan-15,8761.4,1275.9,118.05,1558.8,518.6,329.4,47.25,1172.05,981.76,823.05,249,483.35,1241.7,231.05,272.95,63.1,867.15,590.55,564.75,2444.3,1298.2,384.07,223.85,298.7,734.15,97.12,162.86,442.2,509.55,370,189.73,143.82,21677.4,219.13,1901.15,328.67,453.4,240.94,104.1,564.75,717.65,515.15,654.8,396.4,961.4,1153.72,300.2,2105.2,884.55,250.2,463.8,242.02,74.45,828,148.6,3361.25,68.85,15314.95,891.1,113.3,192.05,71.93,117.15,323.29,3154,744.4,16.63,545.17,309.1,205.55,306.95,5717.2,116.95,280.2,832.85,1279.65,1021.25,2838.85,220.75,143.45,124.25,944.65,165.2,586.2,336.15,75.75,165.9,94.92,110.73,211.85,846.25,360.7,1098.22,165.82,698.95,253.75,233.88,153.65,110.55,99.33,169.4,1405,112.83,693.83,71.55,481.9,1109.42,1503.45,640.24,263.3,33.9,180.98,3597.25,3549.05,657.63,212.1,362.2,39146.55,228.5,282.18,47.75,782.45,100.71,19.9,137,140.2,283.6,3346.05,408.11,235.38,11783.35,260.5,829.65,94.43,139.75,6166.75,578.9,505.6,212.8,148.35,272.95,158.65,347.45,79.8,159.23,388.95,441.88,477.1,62,77.9,324.65,10904.15,1010.65,277.49,939.4,1122.85,931.55,920.05,391.5,16,127.3,441.6,418.15,158.85,560.27,360.81,83.3,403.4,2513.55,689.53,1124.4,399.75,1145.8,167.15,34.65,300.6,992.75,3122.45,246.7,360.35,66.29,201.1,253.05,34.06,297.27,1109.35,170.4,389.5
